BUSINESSNAME,BUSINESSTYPECATEGORYDESC,BUSINESSTYPEDESCRIPTION,LOCATIONADDRESSLINE1,LOCATIONADDRESSLINE2,LOCATIONCITY,LOCATIONSTATE,LOCATIONZIP,LOCATIONCOUNTY,VOICEPHONE,WEBSITE,EMAILADDRESS,LOCATIONLAT,LOCATIONLONG,ACTIVESTATUSFLAG,CREDENTIALSTATUS,LICENSEDBEDTOTAL,CERTIFIEDBEDTOTAL,DATASOURCE
"Fsr Of Parkman, Llc",Chemical Treatment,CT - Chemical Treatment,4930 Enterprise Drive,,Warren,OH,44481,Trumbull,(330) 286-0050,,Cokeefe@Travcobhs.Com,41.260135,-80.874762,True,Active,,,PharmacyBoard
"New Day Recovery, Llc",Chemical Treatment,CT - Chemical Treatment,1500 Mckinley Ave,,Niles,OH,44446,Trumbull,(330) 953-0243,,Tcrofford@Ndrtoday.Com,41.176378,-80.737549,True,Active,,,PharmacyBoard
On Demand Counseling,Chemical Treatment,CT - Chemical Treatment,100 Superior Street,,Newton Falls,OH,44444,Trumbull,(330) 259-8813,,Tcrofford@Ondemandcounseling.Com,41.185334,-80.972634,True,Active,,,PharmacyBoard
On Demand Counseling - Niles,Chemical Treatment,CT - Chemical Treatment,1500 Mckinley Ave,,Niles,OH,44446,Trumbull,(330) 953-0243,,Tcrofford@Ondemandcounseling.Com,41.176378,-80.737549,True,Active,,,PharmacyBoard
Open Water Counseling And Recovery,Chemical Treatment,CT - Chemical Treatment,1716 North Road Se,,Warren,OH,44484,Trumbull,(330) 539-3200,,Reception@Openwatercounseling.Com,41.214587,-80.763093,True,Active,,,PharmacyBoard
Rise Center For Recovery,Chemical Treatment,CT - Chemical Treatment,1977 Niles Rd Se,,Warren,OH,44484,Trumbull,(844) 652-8219,,Mhaddle@Onehealthohio.Org,41.236206,-80.804910,True,Active,,,PharmacyBoard
Serenity Center Of Youngstown Llc,Chemical Treatment,CT - Chemical Treatment,1947 E. Market St.,,Warren,OH,44483,Trumbull,"(330) 965-9999 , ext",,Wmetheny@Serenity.Center,41.236698,-80.792120,True,Active,,,PharmacyBoard
"Spero Health Of Ohio, Llc",Chemical Treatment,CT - Chemical Treatment,552 N Park Ave,,Warren,OH,44481,Trumbull,(615) 265-0376,,Licensure@Sperohealth.Com,41.241534,-80.818017,True,Active,,,PharmacyBoard
Advanced Podiatry,Clinic,CL - Clinic,8601 E Market St,,Warren,OH,44484,Trumbull,(330) 856-2778,,Janice@Advancedpodiatry.Com,41.238409,-80.741213,True,Active,,,PharmacyBoard
Axesspointe Children & Adolescent Services,Clinic,CL - Clinic,318 Mahoning Avenue,N.W.,Warren,OH,44481,Trumbull,(330) 546-6233,,Rklaric@Fcsserves.Org,41.238433,-80.821235,True,Active,,,PharmacyBoard
Axesspointe Liberty Health Center,Clinic,CL - Clinic,4970 Belmont Avenue,,Youngstown,OH,44505,Trumbull,(330) 546-6233,,Rklaric@Fcsserves.Org,41.171427,-80.664893,True,Active,,,PharmacyBoard
Axesspointe Warren Health Center,Clinic,CL - Clinic,150 E. Market Street,,Warren,OH,44481,Trumbull,(330) 546-6233,,Rklaric@Fcsserves.Org,41.235969,-80.817066,True,Active,,,PharmacyBoard
Eye Care Associates Inc,Clinic,CL - Clinic,4060 N. River Rd.,,Warren,OH,44484,Trumbull,(330) 884-6584,,Kwolsiefer@Eyecareassociates.Com,41.265408,-80.753311,True,Active,,,PharmacyBoard
Falls Family Care,Clinic,CL - Clinic,175 E. Broad St.,,Newton Falls,OH,44444,Trumbull,330+9849852,,Mhaddle@Onehealthohio.Org,41.186530,-80.970825,True,Active,,,PharmacyBoard
Family Medical Clinic,Clinic,CL - Clinic,1150 Niles Cortland Rd,,Niles,OH,44446,Trumbull,(330) 652-1759,,Lanieral9500@Aol.Com,41.195831,-80.747634,True,Active,,,PharmacyBoard
Foxconn Ev System Llc,Clinic,CL - Clinic,2300 Hallock Young Rd Sw,,Warren,OH,44481,Trumbull,(330) 207-1176,,Tiffany.Knepper@Fevsys.Com,41.144416,-80.880341,True,Active,,,PharmacyBoard
Kallista,Clinic,CL - Clinic,151 Folsom St Nw,,Warren,OH,44483,Trumbull,(801) 309-9679,,Amy.B.Myers75@Gmail.Com,41.290465,-80.847787,True,Active,,,PharmacyBoard
Lloyd Mccoy Health Center,Clinic,CL - Clinic,1977 Niles Road,S.E.,Warren,OH,44484,Trumbull,(330) 984-9852,,Tcole@Onehealthohio.Org,41.222079,-80.797080,True,Active,,,PharmacyBoard
"Mercy Health - St Elizabeth Youngstown Hospital, Llc",Clinic,CL - Clinic,667 Eastland Ave Se,,Warren,OH,44484,Trumbull,(330) 841-4097,,Kevin_Blair@Mercy.Com,41.230924,-80.778160,True,Active,,,PharmacyBoard
Mercy Health Howland Sleep Medicine,Clinic,CL - Clinic,1950 Niles Cortland Rd Ne Ste 7,,Warren,OH,44484,Trumbull,(330) 480-3699,,Nyuhasz@Mercy.Com,41.264820,-80.740190,True,Active,,,PharmacyBoard
Mercy Howland Sleep Center,Clinic,CL - Clinic,8600 E Market St Ste 5,,Warren,OH,44484,Trumbull,(330) 717-7310,,Rporter086@Gmail.Com,41.237961,-80.736020,True,Active,,,PharmacyBoard
"Minuteclinic Diagnostic Of Ohio, Llc",Clinic,CL - Clinic,1331 Youngstown Warren Road,,Niles,OH,44446,Trumbull,(401) 770-1610,,Mclicensing@Cvscaremark.Com,41.204364,-80.738652,True,Active,,,PharmacyBoard
One Senior Care Ohio,Clinic,CL - Clinic,2154 Elm Rd Ne,,Warren,OH,44483,Trumbull,(508) 212-9951,,Victoria.Cleveland@Oneseniorcare.Com,41.254260,-80.790781,True,Active,,,PharmacyBoard
Primary Care Services,Clinic,CL - Clinic,880 West Liberty Street Suite A,,Hubbard,OH,44425,Trumbull,(724) 699-6708,,Aallen3@Mmchs.Org,41.156494,-80.583983,True,Active,,,PharmacyBoard
St George Medical Practice Inc,Clinic,CL - Clinic,5000 E Market St,,Warren,OH,44484,Trumbull,(330) 507-0081,,Awadallab@Gmail.Com,41.062525,-80.732132,True,Active,,,PharmacyBoard
"The Warren Gastrointestinal Endoscopy Center, Inc.",Clinic,CL - Clinic,1622 E. Market Street,,Warren,OH,44483,Trumbull,(330) 399-7215,,Terriseca@Aol.Com,41.236367,-80.796240,True,Active,,,PharmacyBoard
Trumbull County Health Dept.,Clinic,CL - Clinic,194 W Main St,,Cortland,OH,44410,Trumbull,(330) 518-6723,,Heben@Co.Trumbull.Oh.Us,41.330257,-80.728352,True,Active,,,PharmacyBoard
Warren City Board Of Health,Clinic,CL - Clinic,258 East Market Street Suite 327,,Warren,OH,44481,Trumbull,(330) 841-2594,,Clinic@Warren.Org,41.236008,-80.815153,True,Active,,,PharmacyBoard
Warren West Community Health Center Accounts Payable Dept.,Clinic,CL - Clinic,716 Tod Avenue,,Warren,OH,44485,Trumbull,(330) 984-9852,,Tcole@Onehealthohio.Org,41.228752,-80.829424,True,Active,,,PharmacyBoard
"Lifeline Partners, Inc",Comprehensive Outpatient Rehabilitation Facilites,14 CORF,1825 Tibbetts Wick Road,,Girard,OH,44420,Trumbull,(330)759-9233,,,41.183293,-80.668141,True,ACTIVE,,,OHAL
Central Pharmacy - Inpatient,Correctional Institution,CI - Correctional Institution,5701 Burnett Road,,Leavittsburg,OH,44430,Trumbull,614-752-0176,,Richard.Ives@Mha.Ohio.Gov,41.235401,-80.890288,True,Active,,,PharmacyBoard
"Correct Rx Pharmacy Sesrvices, Inc.",Correctional Institution,CI - Correctional Institution,150 High Street,N.W.,Warren,OH,44481,Trumbull,(443) 557-0057,,Rcampbell@Correctrxpharmacy.Com,41.237606,-80.818799,True,Active,,,PharmacyBoard
Northeast Ohio Community Alternative Program,Correctional Institution,CI - Correctional Institution,411 Pine Ave Se,,Warren,OH,44483,Trumbull,(330) 675-7453,,R.Blower@Neocap.Org,41.232764,-80.815855,True,Active,,,PharmacyBoard
Trumbull Correctional Institution,Correctional Institution,CI - Correctional Institution,5701 Burnett Road,,Leavittsburg,OH,44430,Trumbull,(330) 898-0820,,James.Kline@Odrc.State.Oh.Us,41.235401,-80.890288,True,Active,,,PharmacyBoard
Trumbull County Jail,Correctional Institution,CI - Correctional Institution,150 High Street,,Warren,OH,44481,Trumbull,(330) 544-5600,,Ppm5600@Yahoo.Com,41.237606,-80.818799,True,Active,,,PharmacyBoard
Renal Care Group - Warren,Dialysis Unit,DU - Dialysis Facility,2100 Millennium Boulevard,,Cortland,OH,44410,Trumbull,(330) 372-4030,,Adam.Zappia@Freseniusmedicalcare.Com,41.275633,-80.773880,True,Active,,,PharmacyBoard
Warren Dialysis Center,Dialysis Unit,DU - Dialysis Facility,8720 E. Market Street,Suite #1a,Warren,OH,44484,Trumbull,(330) 609-5502,,Melissa.Readman@Innovativerenal.Com,41.237860,-80.733014,True,Active,,,PharmacyBoard
"Tri-State Canine Services, L.L.C.",Dog Trainer,DG - Dog Trainer,3069 Durst Clagg Road,,Warren,OH,44481,Trumbull,(330) 501-3816,,Dave@Tristatek9.Com,41.301346,-80.802525,True,Active,,,PharmacyBoard
Bazetta Fire Department,Emergency Medical Service,EM - EMS Headquarters,3000 Warren Meadville Road,,Bazetta,OH,44410,Trumbull,(440) 285-6000,,Trink@Bazettatwp.Org,41.300230,-80.753708,True,Active,,,PharmacyBoard
Bloomfield Twp Fire Department,Emergency Medical Service,EM - EMS Headquarters,8832 Park Avenue,,North Bloomfield,OH,44450,Trumbull,(440) 226-0838,,Rogermpetersonjr@Yahoo.Com,41.462632,-80.810486,True,Active,,,PharmacyBoard
Braceville Fire Department,Emergency Medical Service,EM - EMS Headquarters,800 Braceville-Robinson Road Sw,,Newton Falls,OH,44444,Trumbull,(330) 367-7811,,Braceville16ems@Gmail.Com,41.223443,-80.956858,True,Active,,,PharmacyBoard
Bristol Volunteer Fire Department Uh Ems Training & Disaster Preparedness Institute,Emergency Medical Service,EM - EMS Headquarters,2100 Greenville Road P.O. Box 262,,Bristolville,OH,44402,Trumbull,(330) 889-2176,,Fire_Tank_36@Yahoo.Com,41.387696,-80.876147,True,Active,,,PharmacyBoard
Brookfield Twp Fire Dept,Emergency Medical Service,EM - EMS Headquarters,774 St Rt 7 Ne,,Brookfield,OH,44403,Trumbull,(330) 841-9221,,Dmasirovits@Brookfieldfd.Net,41.238188,-80.567907,True,Active,,,PharmacyBoard
"Burghill Vernon Volunteer Fire Dept., Inc.",Emergency Medical Service,EM - EMS Headquarters,6915 S.R. 88,,Kinsman,OH,44428,Trumbull,(330) 772-5079,,Snydergb@Burghillvernonfire.Org,41.386629,-80.569282,True,Active,,,PharmacyBoard
Champion Twp Fire Dept,Emergency Medical Service,EM - EMS Headquarters,139 Champion St W,,Warren,OH,44483,Trumbull,(440) 285-6149,,Thomas.Dempsey@Championtownship.Org,41.291357,-80.849475,True,Active,,,PharmacyBoard
Cortland Fire Department,Emergency Medical Service,EM - EMS Headquarters,194 Lattin Street,,Cortland,OH,44410,Trumbull,(440) 233-9895,,Fire@Cityofcortland.Org,41.331081,-80.728421,True,Active,,,PharmacyBoard
Eagle Joint Fire District,Emergency Medical Service,EM - EMS Headquarters,33 West Liberty Street,,Hubbard,OH,44425,Trumbull,(330) 297-2722,,Bizman8245@Aol.Com,41.156283,-80.569391,True,Active,,,PharmacyBoard
"Emergency Medical Transport, Inc.",Emergency Medical Service,EM - EMS Headquarters,421 South Street,S.E.,Warren,OH,44483,Trumbull,(330) 353-1482,,Wswoyer@Aol.Com,41.234277,-80.812557,True,Active,,,PharmacyBoard
Farmington Twp Volunteer Fire Dept. University Hospitals - Ems Training & Disaster,Emergency Medical Service,EM - EMS Headquarters,151 College Street,P.O. Box 81,West Farmington,OH,44491,Trumbull,(330) 442-1056,,Farmingtontwpfire@Gmail.Com,41.392120,-80.969760,True,Active,,,PharmacyBoard
Fowler Township Ambulance,Emergency Medical Service,EM - EMS Headquarters,3386 Youngstown-Kingsville Rd.,N.E P.O. Box 21,Fowler,OH,44418,Trumbull,(330) 638-3814,,Fowlervfd@Aol.Com,41.304100,-80.603200,True,Active,,,PharmacyBoard
Girard Fire Department,Emergency Medical Service,EM - EMS Headquarters,105 E. Liberty Street,,Girard,OH,44420,Trumbull,(330) 883-1523,,Jpetruzzi@Cityofgirardoh.Gov,41.153916,-80.698160,True,Active,,,PharmacyBoard
Greene Volunteer Fire & Rescue Inc.,Emergency Medical Service,EM - EMS Headquarters,2077 Kinsman Road,N.E.,N. Bloomfield,OH,44450,Trumbull,(330) 219-3163,,Firegreene4687@Gmail.Com,41.462205,-80.744829,True,Active,,,PharmacyBoard
Howland Township Fire Department,Emergency Medical Service,EM - EMS Headquarters,169 Niles Cortland Rd,,Warren,OH,44484,Trumbull,(330) 856-5022,,Natalie.Ciferno@Howlandtownship.Org,41.233000,-80.755800,True,Active,,,PharmacyBoard
Johnston Township Fire Department,Emergency Medical Service,EM - EMS Headquarters,4424 Greenville Road,,Farmdale,OH,44417,Trumbull,(330) 924-2895,,Traumat12@Aol.Com,41.388678,-80.660482,True,Active,,,PharmacyBoard
Liberty Township Fire Department,Emergency Medical Service,EM - EMS Headquarters,4001 Loganway,,Youngstown,OH,44505,Trumbull,(330) 717-9254,,Dtheobald@Libertytwp.Com,41.155091,-80.633752,True,Active,,,PharmacyBoard
Lordstown Fire Department,Emergency Medical Service,EM - EMS Headquarters,1595 Salt Springs Road,,Warren,OH,44481,Trumbull,(330) 506-5332,,Lfdchief@Neo.Rr.Com,41.165780,-80.855445,True,Active,,,PharmacyBoard
Mcdonald Volunteer Fire Dept.,Emergency Medical Service,EM - EMS Headquarters,451 Ohio Avenue,,Mcdonald,OH,44437,Trumbull,(330) 841-9221,,Mfdcads@Gmail.Com,41.164295,-80.724155,True,Active,,,PharmacyBoard
Mecca Volunteer Fire Dept.,Emergency Medical Service,EM - EMS Headquarters,6333 Sr 46,,Cortland,OH,44410,Trumbull,(330) 637-3436,,Meccavfd@Aol.Com,41.391429,-80.737080,True,Active,,,PharmacyBoard
Mesopotamia Volunteer Fire Dept.,Emergency Medical Service,EM - EMS Headquarters,8800 St Rt 534 P.O. Box 225,,Mesopotamia,OH,44439,Trumbull,(440) 693-4602,,Jl39112@Hotmail.Com,41.458300,-80.955200,True,Active,,,PharmacyBoard
N F Joint Fire District,Emergency Medical Service,EM - EMS Headquarters,45 East Broad Street,,Newton Falls,OH,44444,Trumbull,(330) 872-7306,,Csanchez@Nffiredistrictoh.Gov,41.187395,-80.974290,True,Active,,,PharmacyBoard
Niles Fire Department,Emergency Medical Service,EM - EMS Headquarters,15 E. State Street,,Niles,OH,44446,Trumbull,(330) 544-9022,,Jstevens@Thecityofniles.Com,41.179376,-80.763774,True,Active,,,PharmacyBoard
Southington Twp Fire Dept,Emergency Medical Service,EM - EMS Headquarters,4361 State Route 305,,Southington,OH,44470,Trumbull,(330) 898-6242,,Southingtonfire@Gmail.Com,41.308268,-80.957227,True,Active,,,PharmacyBoard
Vienna Volunteer Fire Department,Emergency Medical Service,EM - EMS Headquarters,833 Youngstown-Kingsville Rd. P.O. Box 665,,Vienna,OH,44473,Trumbull,(330) 394-1218,,Ems46viennafire@Gmail.Com,41.237600,-80.670600,True,Active,,,PharmacyBoard
Warren Twp Fire Dept.,Emergency Medical Service,EM - EMS Headquarters,4750 West Market St.,,Leavittsburg,OH,44430,Trumbull,(330) 898-2041,,Wtfd@Neohio.Twcbc.Com,41.240076,-80.877081,True,Active,,,PharmacyBoard
Weathersfield Twp Fire Department #41,Emergency Medical Service,EM - EMS Headquarters,3588 State Route 46,,Mineral Ridge,OH,44440,Trumbull,(330) 550-2480,,Tlambert@Weathersfieldtwp.Com,41.145078,-80.769016,True,Active,,,PharmacyBoard
Brookfield Twp Fire Dept - Sta.51,Emergency Medical Service Satellite,EMSS - EMS Satellite,7818 Addison Road,,Masury,OH,44438,Trumbull,(330) 969-1085,,Dmasirovits@Brookfieldfd.Net,41.220547,-80.536418,True,Active,,,PharmacyBoard
Howland Township Fire Department,Emergency Medical Service Satellite,EMSS - EMS Satellite,3403 Ridge Road S.E.,,Warren,OH,44484,Trumbull,(330) 856-5022,,Natalie.Ciferno@Howlandtownship.Org,41.208922,-80.781425,True,Active,,,PharmacyBoard
Howland Township Fire Department,Emergency Medical Service Satellite,EMSS - EMS Satellite,2180 Wilson Ave,N.E.,Warren,OH,44483,Trumbull,(330) 856-5022,,Natalie.Ciferno@Howlandtownship.Org,41.258062,-80.787900,True,Active,,,PharmacyBoard
Johnston Twp Fd - Kinsman Satellite,Emergency Medical Service Satellite,EMSS - EMS Satellite,P.O. Box 307 8450 Center Street,,Kinsman,OH,44428,Trumbull,(330) 770-2861,,Traumat12@Aol.Com,41.438800,-80.584400,True,Active,,,PharmacyBoard
Lane Life Corp.,Emergency Medical Service Satellite,EMSS - EMS Satellite,327 Vienna Avenue,,Niles,OH,44446,Trumbull,330-550-2480,,Thomas.Lambert@Lanelifetrans.Com,41.186324,-80.756225,True,Active,,,PharmacyBoard
Lane Lifetrans,Emergency Medical Service Satellite,EMSS - EMS Satellite,215 High Street,,Girard,OH,44420,Trumbull,330-550-2480,,Thomas.Lambert@Lanelifetrans.Com,41.156153,-80.703701,True,Active,,,PharmacyBoard
Liberty Twp Fire Dept- Sta 34,Emergency Medical Service Satellite,EMSS - EMS Satellite,5920 Belmont Ave,,Youngstown,OH,44505,Trumbull,(330) 717-9254,,Dtheobald@Libertytwp.Com,41.181951,-80.664616,True,Active,,,PharmacyBoard
Niles Fire Department,Emergency Medical Service Satellite,EMSS - EMS Satellite,1235 Niles Cortland Road,,Niles,OH,44446,Trumbull,330-841-9011,,Jstevens@Thecityofniles.Com,41.197275,-80.746216,True,Active,,,PharmacyBoard
"Physicians Ambulance Service, Inc.",Emergency Medical Service Satellite,EMSS - EMS Satellite,3229 Youngstown Rd Se,,Warren,OH,44484,Trumbull,(216) 973-0069,,Jjordan@Physiciansambulance.Com,41.220778,-80.781057,True,Active,,,PharmacyBoard
"Valor Ambulance, Llc",Emergency Medical Service Satellite,EMSS - EMS Satellite,3379 Main St,,Mineral Ridge,OH,44440,Trumbull,(248) 229-0200,,Kbersche@Valorambulanceoh.Com,41.150817,-80.768618,True,Active,,,PharmacyBoard
Warren Twp Fire Dept,Emergency Medical Service Satellite,EMSS - EMS Satellite,750 North River Rd,,Warren,OH,44483,Trumbull,(330) 898-2041,,Wtfd@Neohio.Twcbc.Com,41.255700,-80.809800,True,Active,,,PharmacyBoard
Warren Twp Fire Dept,Emergency Medical Service Satellite,EMSS - EMS Satellite,979 Dover Ave.,,Warren,OH,44485,Trumbull,(330) 898-2041,,Wtfd@Neohio.Twcbc.Com,41.215307,-80.831969,True,Active,,,PharmacyBoard
Weatherfield Twp Fire Department #41,Emergency Medical Service Satellite,EMSS - EMS Satellite,2229 Gardenland Avenue,,Niles,OH,44446,Trumbull,(330) 550-2480,,Tlambert@Weathersfieldtwp.Com,41.182772,-80.717052,True,Active,,,PharmacyBoard
Weathersfield Twp Fire Department #41,Emergency Medical Service Satellite,EMSS - EMS Satellite,1382 West Park Avenue,,Niles,OH,44446,Trumbull,(330) 550-2480,,Tlambert@Weathersfieldtwp.Com,41.181523,-80.796487,True,Active,,,PharmacyBoard
Fresenius Medical Care Youngstown Llc,End Stage Renal (ESR),09 ESRD,4941 Enterprise Blvd Nw,,Warren,OH,44481,Trumbull,(330)898-0801,,,41.259854,-80.874574,True,ACTIVE,,,OHAL
"Fresenius Medical Care Youngstown, Llc",End Stage Renal (ESR),09 ESRD,2100 Millennium Blvd,,Cortland,OH,44410,Trumbull,(330)372-4030,,,41.274895,-80.774006,True,ACTIVE,,,OHAL
"Fresenius Medical Care Youngstown, Llc",End Stage Renal (ESR),L6  DIALYSIS CENTER,4941 Enterprise Drive Nw,,Warren,OH,44481,Trumbull,(330)898-0801,,Adam.Zappia@Freseniusmedicalcare.Com,41.259854,-80.874574,True,ACTIVE,20.0,0.0,OHAL
"Fresenius Medical Care Youngstown, Llc",End Stage Renal (ESR),L6  DIALYSIS CENTER,2100 Millennium Boulevard,,Cortland,OH,44410,Trumbull,(330)372-4030,,Adam.Zappia@Freseniusmedicalcare.Com,41.274895,-80.774006,True,ACTIVE,25.0,0.0,OHAL
"Warren Dialysis Center, Llc",End Stage Renal (ESR),L6  DIALYSIS CENTER,8720 East Market Street Suite 1a,,Warren,OH,44484,Trumbull,(330)609-5502,,Melissa.Readman@Innovativerenal.Com,41.237860,-80.733014,True,ACTIVE,25.0,0.0,OHAL
"Warren Dialysis Center, Llc",End Stage Renal (ESR),09 ESRD,"8720 East Market Street, Suite 1a",,Warren,OH,44484,Trumbull,(330)609-5502,,,41.237874,-80.733407,True,ACTIVE,,,OHAL
Falls Family Care,Federally Qualified Health Centers (FQHC),21 FEDERALLY QHC,175 East Broad Street,,Newton Falls,OH,44444,Trumbull,(330)872-2010,,Mikelucyk@Onehealthohio.Org,41.186530,-80.970827,True,ACTIVE,,,OHAL
Ohio North East Health Systems,Federally Qualified Health Centers (FQHC),21 FEDERALLY QHC,1821 East Market Street,,Warren,OH,44483,Trumbull,(330)747-9551,,,41.236685,-80.793732,True,ACTIVE,,,OHAL
"Ohio North East Health Systems, Inc",Federally Qualified Health Centers (FQHC),21 FEDERALLY QHC,"1977 Niles Rd, Se",,Warren,OH,44484,Trumbull,(330)393-6446,,,41.221620,-80.796657,True,ACTIVE,,,OHAL
Warren West Community Health Care,Federally Qualified Health Centers (FQHC),21 FEDERALLY QHC,1230 Palmyra Road,,Warren,OH,44485,Trumbull,(800)000-0000,,,41.227070,-80.834938,True,ACTIVE,,,OHAL
Rmi Titanium Co. Medical Director,First Aid Dept,FA - First Aid Room/Dept.,1000 Warren Ave.,,Niles,OH,44446,Trumbull,(330) 544-7677,,Jennifer.Clay@Howmet.Com,41.188198,-80.784294,True,Active,,,PharmacyBoard
Thomas Steel Strip Corp Medical Director,First Aid Dept,FA - First Aid Room/Dept.,Delaware Ave Nw,,Warren,OH,44485,Trumbull,(877) 326-9843,,Fd@Bowtiemedical.Com,41.237400,-80.842800,True,Active,,,PharmacyBoard
Ultium Cells Llc,First Aid Dept,FA - First Aid Room/Dept.,7400 Tod Ave Sw Rm 4155,,Warren,OH,44481,Trumbull,(330) 720-0161,,Tmilliman@Ultiumcell.Com,41.154484,-80.857250,True,Active,,,PharmacyBoard
Mercy Health - Warren Minor Emergency Svcs,Free Standing Hospital Emergency Department,ED - Free Standing Emergency Dept.,"1296 Tod Pl Nw, Ste 200",,Warren,OH,44485,Trumbull,,,,41.246384,-80.832102,True,Active,,,Response Facility Listing
